Raw Text,JSON Text
Stream of thought 1 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 1 for Burned-out Tech Lead.""}"
Stream of thought 2 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 2 for Burned-out Tech Lead.""}"
Stream of thought 3 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 3 for Burned-out Tech Lead.""}"
Stream of thought 4 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 4 for Burned-out Tech Lead.""}"
Stream of thought 5 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 5 for Burned-out Tech Lead.""}"
Stream of thought 6 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 6 for Burned-out Tech Lead.""}"
Stream of thought 7 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 7 for Burned-out Tech Lead.""}"
Stream of thought 8 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 8 for Burned-out Tech Lead.""}"
Stream of thought 9 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 9 for Burned-out Tech Lead.""}"
Stream of thought 10 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 10 for Burned-out Tech Lead.""}"
Stream of thought 11 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 11 for Burned-out Tech Lead.""}"
Stream of thought 12 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 12 for Burned-out Tech Lead.""}"
Stream of thought 13 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 13 for Burned-out Tech Lead.""}"
Stream of thought 14 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 14 for Burned-out Tech Lead.""}"
Stream of thought 15 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 15 for Burned-out Tech Lead.""}"
